Headings;Site;Installation;Description;A0Dir;Depth Top;Depth Bottom;Depth Interval;Depth Offset;Latitude;Longitude;Elevation;Instrument Constant;Orientation Correction;DepthUnits;DisplayUnits
Installation v1;VEGA;VI-2;;0;1;24;0.5;0;0;0;0;25000;0;Meters;mm
Headings;Survey DateTime;Num Passes;Num Depths;Sensor SN;Actl Cnst;Rotation A;Rotation B;Bias A;Bias B;Sensitivity A;Sensitivity B;Operator;SurveyType;Settlement Corrected;CutAtBottom;Water Level
Survey v2;14/10/2023 13:15:00;2;48;DP45VEGA2,C;50000000;0.0000;0.0000;0.0;0.0;1.000;1.000;;0;False;False;0
Depth;A0;A180;B0;B180
0.5;-323286;370908;-2190081;2235600
1;-253803;316551;-2192771;2238601
1.5;-426835;467888;-2193523;2240354
2;94469;-32108;-2190882;2243198
2.5;-2308;61088;-2195918;2252135
3;-179512;225374;-2194584;2241581
3.5;-232983;278659;-1955913;2006559
4;-62986;111535;-1284185;1338251
4.5;288656;-236700;-1130734;1175341
5;261744;-208575;-904319;958519
5.5;502773;-455382;-637740;680628
6;476887;-441460;-684440;721643
6.5;-162551;229863;-482611;531338
7;139628;-106198;-278095;326415
7.5;218657;-168146;-539485;590870
8;167578;-114104;-583265;626846
8.5;294828;-239631;-559660;607870
9;741854;-687973;-327164;374692
9.5;616687;-572251;-269501;324907
10;504893;-455744;-199464;260141
10.5;582607;-530689;-159760;197888
11;297345;-242225;-280749;331865
11.5;592210;-545365;-303359;352894
12;713262;-665116;-176102;225979
12.5;455806;-409814;-13594;66917
13;425373;-378054;-262590;301532
13.5;46429;8085;319883;-263945
14;110723;-50890;336098;-289037
14.5;265043;-205849;192017;-163066
15;425997;-374202;-9219;55908
15.5;422576;-375523;102118;-41844
16;564212;-518074;202479;-150969
16.5;557286;-511548;444715;-400410
17;446000;-398469;558738;-513889
17.5;179759;-129529;1044584;-1000283
18;175761;-128936;636394;-581625
18.5;-455729;500269;1059360;-1010248
19;-523188;568053;1002688;-941499
19.5;-539003;587100;894017;-855248
20;-324733;367983;644785;-587163
20.5;-627899;673748;407409;-351830
21;-832364;883256;294325;-243207
21.5;-691664;743870;271380;-221432
22;-718441;767187;-236387;280989
22.5;-715897;760741;-312390;359998
23;-963024;1008178;-262041;308895
23.5;-1128280;1173234;-163859;214470
24;-1256232;1312501;-564990;614531
