Headings;Site;Installation;Description;A0Dir;Depth Top;Depth Bottom;Depth Interval;Depth Offset;Latitude;Longitude;Elevation;Instrument Constant;Orientation Correction;DepthUnits;DisplayUnits
Installation v1;VEGA;VI-2;;0;1;24;0.5;0;0;0;0;25000;0;Meters;mm
Headings;Survey DateTime;Num Passes;Num Depths;Sensor SN;Actl Cnst;Rotation A;Rotation B;Bias A;Bias B;Sensitivity A;Sensitivity B;Operator;SurveyType;Settlement Corrected;CutAtBottom;Water Level
Survey v2;16/08/2025 09:26:00;2;48;DP45VEGA2,C;50000000;0.0000;0.0000;0.0;0.0;1.000;1.000;;0;False;False;0
Depth;A0;A180;B0;B180
0.5;-315154;366121;-2180812;2225889
1;-241048;297061;-2177856;2229723
1.5;-414542;454922;-2180831;2222967
2;111166;-54144;-2183793;2235118
2.5;7650;38200;-2182657;2231687
3;-162193;213897;-2187053;2234416
3.5;-214042;265356;-1942310;1987046
4;-54283;108725;-1274109;1322315
4.5;300007;-255224;-1121087;1169335
5;280974;-233665;-896721;936050
5.5;517604;-464370;-624927;660151
6;487666;-434680;-674508;715181
6.5;-150480;208467;-477658;526024
7;149316;-103551;-263381;318760
7.5;229533;-179736;-533048;582020
8;171969;-118903;-573776;625861
8.5;309238;-267031;-551309;601643
9;748408;-695675;-318212;362363
9.5;630112;-579920;-259252;303424
10;513979;-458182;-189553;225095
10.5;590615;-539985;-152582;195533
11;305318;-253493;-270870;312988
11.5;600604;-556913;-295277;346848
12;720814;-666045;-172729;210975
12.5;461599;-401404;2609;42912
13;429614;-369014;-258648;313674
13.5;48204;5772;326854;-290154
14;112635;-70077;343288;-290216
14.5;267034;-210444;193459;-143243
15;434432;-383967;-2758;47949
15.5;421644;-372944;106363;-59110
16;571082;-530570;214408;-155061
16.5;564298;-504208;452291;-417649
17;440392;-383966;568733;-520367
17.5;181291;-137287;1045038;-1004553
18;180183;-133630;642052;-586550
18.5;-453487;505245;1064392;-1019858
19;-522771;564131;1000389;-952735
19.5;-536306;594596;897709;-858256
20;-320068;382383;642811;-613984
20.5;-614633;659609;409277;-368822
21;-826049;873208;292327;-247526
21.5;-687003;735679;274325;-229311
22;-714555;771369;-239267;290910
22.5;-714540;768606;-310567;365227
23;-962307;1015008;-262861;315405
23.5;-1129776;1179181;-157891;199501
24;-1255090;1317224;-567195;620165
