Headings;Site;Installation;Description;A0Dir;Depth Top;Depth Bottom;Depth Interval;Depth Offset;Latitude;Longitude;Elevation;Instrument Constant;Orientation Correction;DepthUnits;DisplayUnits
Installation v1;VEGA;VI-2;;0;1;24;0.5;0;0;0;0;25000;0;Meters;mm
Headings;Survey DateTime;Num Passes;Num Depths;Sensor SN;Actl Cnst;Rotation A;Rotation B;Bias A;Bias B;Sensitivity A;Sensitivity B;Operator;SurveyType;Settlement Corrected;CutAtBottom;Water Level
Survey v2;13/03/2025 15:43:00;2;48;DP45VEGA2,C;50000000;0.0000;0.0000;0.0;0.0;1.000;1.000;;0;False;False;0
Depth;A0;A180;B0;B180
0.5;-316332;360965;-2187917;2236264
1;-239396;286762;-2184002;2229297
1.5;-419004;466411;-2189300;2236131
2;105406;-66760;-2182726;2235188
2.5;7277;35372;-2185839;2236253
3;-165781;214058;-2184583;2221610
3.5;-221744;278759;-1947525;1996991
4;-58710;96973;-1274054;1325192
4.5;297932;-244172;-1120737;1166782
5;277230;-229643;-898155;949164
5.5;508672;-464088;-628278;675627
6;485378;-438840;-678869;711288
6.5;-155968;212061;-481058;522596
7;145227;-96986;-270073;308507
7.5;228274;-179683;-538414;583891
8;171525;-116186;-574917;626423
8.5;303510;-253358;-552090;598719
9;748331;-717098;-314339;362145
9.5;618749;-574945;-260512;311425
10;508254;-448587;-191270;234846
10.5;587623;-546007;-149932;203648
11;307825;-255444;-271667;318737
11.5;598440;-547265;-300475;350472
12;718067;-670175;-168056;207716
12.5;462715;-427290;-1138;48223
13;437720;-373996;-259357;304466
13.5;45525;-2141;325550;-277622
14;108991;-64847;341628;-293409
14.5;264789;-206145;194330;-143531
15;428873;-381718;-6100;57197
15.5;420128;-374630;107235;-53369
16;566900;-522458;210246;-158112
16.5;558515;-511210;448869;-402487
17;445763;-400618;566476;-510011
17.5;183407;-140767;1046497;-999781
18;183096;-140827;643797;-595418
18.5;-452082;500555;1061651;-1010011
19;-524157;569295;1000397;-941158
19.5;-543849;597629;896490;-858729
20;-321422;365547;647887;-595763
20.5;-621877;671153;412253;-360213
21;-832457;881946;296825;-234478
21.5;-687838;732205;271450;-238960
22;-712797;768235;-240672;286236
22.5;-713047;767126;-315941;365713
23;-964652;1014543;-260237;295310
23.5;-1128241;1173230;-155673;197449
24;-1252215;1304784;-573982;626665
