Headings;Site;Installation;Description;A0Dir;Depth Top;Depth Bottom;Depth Interval;Depth Offset;Latitude;Longitude;Elevation;Instrument Constant;Orientation Correction;DepthUnits;DisplayUnits
Installation v1;VEGA;VI-2;;0;1;24;0.5;0;0;0;0;25000;0;Meters;mm
Headings;Survey DateTime;Num Passes;Num Depths;Sensor SN;Actl Cnst;Rotation A;Rotation B;Bias A;Bias B;Sensitivity A;Sensitivity B;Operator;SurveyType;Settlement Corrected;CutAtBottom;Water Level
Survey v2;12/11/2023 12:08:00;2;48;DP45VEGA2,C;50000000;0.0000;0.0000;0.0;0.0;1.000;1.000;;0;False;False;0
Depth;A0;A180;B0;B180
0.5;-330245;376696;-2195755;2237244
1;-254452;308278;-2193900;2245127
1.5;-427138;477693;-2194734;2232908
2;94972;-41237;-2189623;2239521
2.5;-2209;60569;-2195510;2235616
3;-176004;232031;-2196869;2249477
3.5;-222819;264324;-1956105;1995696
4;-62036;107974;-1283479;1335885
4.5;290364;-239201;-1137424;1184177
5;268753;-229472;-903853;951140
5.5;506057;-447900;-633398;689408
6;476107;-428701;-687767;734516
6.5;-156111;201927;-490720;550201
7;143727;-92253;-273405;316443
7.5;221147;-166552;-541657;579379
8;165090;-111278;-578053;635781
8.5;302908;-259916;-552259;604715
9;744907;-707456;-321769;371973
9.5;617653;-557327;-264534;321805
10;503394;-455449;-198359;255637
10.5;584327;-536308;-151609;201235
11;297447;-253959;-276920;328468
11.5;591942;-547728;-303458;357408
12;710655;-656110;-174017;228692
12.5;459576;-400821;-11179;51892
13;425492;-376865;-258206;301038
13.5;37768;11951;314767;-271350
14;105727;-54272;338591;-295983
14.5;258165;-207541;193306;-142267
15;432044;-371157;-5600;51113
15.5;421588;-359612;103317;-68247
16;565516;-504969;201737;-154953
16.5;558354;-508421;447009;-402542
17;440459;-389609;562810;-515874
17.5;186174;-139244;1042611;-988671
18;177700;-121403;636910;-588544
18.5;-454284;498101;1063202;-1013030
19;-524682;573921;1001155;-959034
19.5;-543986;591740;894589;-835686
20;-324812;378063;638508;-590772
20.5;-620891;669807;411949;-364787
21;-825128;869843;297534;-255074
21.5;-691283;738302;275950;-225179
22;-718216;767494;-240540;290920
22.5;-713119;763793;-307155;357881
23;-964869;1023514;-261728;316995
23.5;-1130713;1171528;-159721;201208
24;-1250814;1302084;-567864;624401
