Headings;Site;Installation;Description;A0Dir;Depth Top;Depth Bottom;Depth Interval;Depth Offset;Latitude;Longitude;Elevation;Instrument Constant;Orientation Correction;DepthUnits;DisplayUnits
Installation v1;VEGA;VI-2;;0;1;24;0.5;0;0;0;0;25000;0;Meters;mm
Headings;Survey DateTime;Num Passes;Num Depths;Sensor SN;Actl Cnst;Rotation A;Rotation B;Bias A;Bias B;Sensitivity A;Sensitivity B;Operator;SurveyType;Settlement Corrected;CutAtBottom;Water Level
Survey v2;19/09/2023 10:30:00;2;48;DP45VEGA2,C;50000000;0.0000;0.0000;0.0;0.0;1.000;1.000;;0;False;False;0
Depth;A0;A180;B0;B180
0.5;-327456;375893;-2195951;2241513
1;-250816;292364;-2193484;2234981
1.5;-431357;476021;-2195490;2232424
2;97797;-42791;-2195456;2248111
2.5;-1323;48357;-2193311;2243569
3;-177537;227121;-2194569;2237301
3.5;-224660;280636;-1956092;1997233
4;-61618;110781;-1286909;1332474
4.5;285774;-238060;-1136327;1181476
5;264924;-208647;-905091;950442
5.5;510533;-464690;-639435;695075
6;472848;-419310;-687294;730745
6.5;-159722;209319;-487942;536290
7;136636;-90203;-275279;321795
7.5;215394;-166300;-540502;592293
8;164016;-113611;-581098;626464
8.5;300748;-244206;-556069;610458
9;739489;-686616;-323778;363513
9.5;618006;-562249;-269704;319424
10;500943;-454377;-196406;249663
10.5;585210;-542804;-150282;198569
11;299233;-245809;-284100;325313
11.5;592959;-542053;-301236;348772
12;717986;-676427;-176221;219281
12.5;451059;-409472;-10296;60484
13;428879;-374772;-262656;313633
13.5;42267;2103;320279;-266992
14;105087;-63631;336474;-281310
14.5;260604;-213409;192834;-151819
15;424776;-371514;-6153;56292
15.5;414749;-362279;102113;-62698
16;567350;-520659;206823;-160988
16.5;556338;-514168;444831;-389124
17;441218;-393595;562030;-524687
17.5;179887;-128254;1040332;-992241
18;174409;-129615;638590;-597403
18.5;-455085;502936;1065665;-1016383
19;-530737;585386;995478;-938987
19.5;-539198;596465;893017;-843774
20;-327893;378551;640951;-592744
20.5;-622593;673657;411095;-360068
21;-832242;891063;291997;-243383
21.5;-690823;739025;272237;-224560
22;-714872;763030;-241700;288045
22.5;-719258;766593;-309895;359435
23;-966614;999925;-257935;301770
23.5;-1133297;1181469;-158085;202816
24;-1256958;1307784;-573681;622363
