Headings;Site;Installation;Description;A0Dir;Depth Top;Depth Bottom;Depth Interval;Depth Offset;Latitude;Longitude;Elevation;Instrument Constant;Orientation Correction;DepthUnits;DisplayUnits
Installation v1;VEGA;VI-2;;0;1;24;0.5;0;0;0;0;25000;0;Meters;mm
Headings;Survey DateTime;Num Passes;Num Depths;Sensor SN;Actl Cnst;Rotation A;Rotation B;Bias A;Bias B;Sensitivity A;Sensitivity B;Operator;SurveyType;Settlement Corrected;CutAtBottom;Water Level
Survey v2;14/12/2023 13:08:00;2;48;DP45VEGA2,C;50000000;0.0000;0.0000;0.0;0.0;1.000;1.000;;0;False;False;0
Depth;A0;A180;B0;B180
0.5;-322745;375924;-2191746;2231283
1;-248389;298441;-2190233;2240201
1.5;-426380;483046;-2192003;2225948
2;98793;-45045;-2191106;2230565
2.5;-2936;54814;-2189646;2232000
3;-174737;223633;-2193392;2242191
3.5;-227611;287720;-1951639;1996198
4;-65460;107255;-1286586;1332459
4.5;288632;-231452;-1129838;1164520
5;270258;-223734;-906119;954724
5.5;503085;-450741;-634732;687717
6;471223;-412815;-686483;735086
6.5;-158846;216202;-487515;529385
7;137297;-91009;-279127;337393
7.5;223395;-167503;-536513;574120
8;164733;-119028;-578605;620197
8.5;299999;-254406;-557403;614533
9;741922;-683570;-320747;363737
9.5;619202;-565431;-265126;313225
10;501213;-457677;-194450;239676
10.5;588297;-536003;-154577;192207
11;301168;-247185;-279944;328100
11.5;594904;-543432;-304505;349721
12;717699;-670090;-174465;221635
12.5;451238;-408643;-10380;59462
13;425745;-367836;-265736;297546
13.5;40395;11265;321684;-264035
14;107931;-57925;341897;-290775
14.5;262255;-213230;189050;-135677
15;425453;-370172;-9963;60946
15.5;420319;-376034;99792;-55320
16;563674;-513858;204766;-156902
16.5;552105;-491107;443860;-400461
17;440997;-386570;564640;-522012
17.5;181405;-135500;1042417;-989386
18;177412;-131853;637205;-587943
18.5;-454372;496275;1064084;-1013308
19;-529350;587198;1003973;-958677
19.5;-542879;599086;885069;-837096
20;-323030;384898;642640;-593860
20.5;-625944;666223;413964;-369364
21;-832839;890380;294398;-248896
21.5;-691360;745988;273536;-229957
22;-718485;776824;-241113;292854
22.5;-720854;773059;-314820;364431
23;-962811;1009856;-263066;314070
23.5;-1133799;1188195;-157237;197415
24;-1252765;1308303;-570009;613071
