Headings;Site;Installation;Description;A0Dir;Depth Top;Depth Bottom;Depth Interval;Depth Offset;Latitude;Longitude;Elevation;Instrument Constant;Orientation Correction;DepthUnits;DisplayUnits
Installation v1;VEGA;VI-2;;0;1;24;0.5;0;0;0;0;25000;0;Meters;mm
Headings;Survey DateTime;Num Passes;Num Depths;Sensor SN;Actl Cnst;Rotation A;Rotation B;Bias A;Bias B;Sensitivity A;Sensitivity B;Operator;SurveyType;Settlement Corrected;CutAtBottom;Water Level
Survey v2;14/05/2025 10:52:00;2;48;DP45VEGA2,C;50000000;0.0000;0.0000;0.0;0.0;1.000;1.000;;0;False;False;0
Depth;A0;A180;B0;B180
0.5;-318430;368515;-2181823;2231665
1;-240735;290531;-2187303;2226705
1.5;-419618;462328;-2183352;2230155
2;109698;-63338;-2180093;2231472
2.5;9488;34823;-2184621;2233561
3;-171543;222936;-2181744;2232320
3.5;-221839;268767;-1944451;1984250
4;-51521;103237;-1274916;1318453
4.5;295242;-248543;-1122617;1176256
5;275949;-219355;-894462;944339
5.5;513267;-466832;-622618;676399
6;483304;-433898;-678510;738096
6.5;-155502;200706;-477274;526733
7;145638;-104646;-272704;322636
7.5;232084;-189223;-537457;580083
8;170624;-121780;-575678;610254
8.5;307758;-251567;-550903;601374
9;748581;-701050;-313064;360888
9.5;626967;-583366;-260483;306509
10;506861;-462515;-190133;234499
10.5;590052;-545822;-147552;183084
11;306808;-252786;-268370;318030
11.5;597106;-537349;-298031;347766
12;718940;-672492;-168369;218069
12.5;457315;-404775;-1649;64193
13;429252;-381783;-255153;307427
13.5;51791;2210;317211;-259512
14;112120;-60943;338553;-282397
14.5;263915;-220424;199637;-142930
15;430371;-369815;-7829;59994
15.5;425673;-381795;111073;-64626
16;566066;-518639;210602;-155617
16.5;560901;-506127;448199;-403883
17;442733;-388940;561591;-519512
17.5;179311;-132332;1045280;-1001331
18;180483;-134759;641128;-583626
18.5;-450301;506650;1059829;-1012151
19;-522530;582234;998379;-952754
19.5;-540665;599364;895897;-844566
20;-324025;382506;640597;-592067
20.5;-621753;669851;416690;-374508
21;-830665;883360;293758;-243950
21.5;-690571;734106;276694;-230343
22;-714474;762571;-234578;269633
22.5;-712258;756510;-310881;364201
23;-958991;1004808;-259715;312957
23.5;-1127591;1173916;-157183;206789
24;-1253943;1305310;-573179;621004
