Headings;Site;Installation;Description;A0Dir;Depth Top;Depth Bottom;Depth Interval;Depth Offset;Latitude;Longitude;Elevation;Instrument Constant;Orientation Correction;DepthUnits;DisplayUnits
Installation v1;VEGA;VI-2;;0;1;24;0.5;0;0;0;0;25000;0;Meters;mm
Headings;Survey DateTime;Num Passes;Num Depths;Sensor SN;Actl Cnst;Rotation A;Rotation B;Bias A;Bias B;Sensitivity A;Sensitivity B;Operator;SurveyType;Settlement Corrected;CutAtBottom;Water Level
Survey v2;12/01/2025 09:43:00;2;48;DP45VEGA2,C;50000000;0.0000;0.0000;0.0;0.0;1.000;1.000;;0;False;False;0
Depth;A0;A180;B0;B180
0.5;-322885;376195;-2186187;2235812
1;-241826;302360;-2186634;2224924
1.5;-419944;458337;-2189854;2232643
2;102866;-45135;-2182601;2235903
2.5;5862;54069;-2185892;2235375
3;-170338;219953;-2187086;2238141
3.5;-223049;281851;-1944357;2002168
4;-55231;102786;-1277875;1330908
4.5;296255;-254656;-1127230;1179712
5;276430;-212859;-897857;944686
5.5;511235;-464376;-627910;670507
6;481185;-422651;-679811;721073
6.5;-156331;203143;-483063;536654
7;143470;-90003;-268775;312445
7.5;220960;-165380;-538142;593200
8;172115;-121169;-578078;625705
8.5;310028;-259142;-552762;598970
9;748464;-704700;-318695;359758
9.5;625301;-568307;-267224;315225
10;507985;-446980;-191014;230833
10.5;590816;-539206;-155131;213358
11;306202;-253674;-269374;311370
11.5;597209;-542337;-296083;346134
12;722725;-667135;-172767;225746
12.5;463773;-404531;-2327;48186
13;436734;-380577;-250216;297428
13.5;47504;364;320419;-270271
14;109171;-60460;342098;-290849
14.5;268670;-222816;196956;-152330
15;433429;-384114;-7755;50545
15.5;424743;-373711;108617;-69991
16;569456;-523631;210081;-159101
16.5;557386;-500019;452115;-396210
17;444280;-398111;565125;-523017
17.5;179311;-119727;1043992;-996455
18;178838;-142374;640041;-592090
18.5;-462049;524206;1065901;-1024949
19;-523334;572195;1002222;-951547
19.5;-534435;585748;896049;-853882
20;-319492;369443;645058;-583627
20.5;-616969;667311;415108;-375077
21;-828623;880869;291664;-249544
21.5;-688670;736868;276851;-231334
22;-717011;774019;-244591;296411
22.5;-717156;771893;-314139;360555
23;-965244;1007494;-261296;306995
23.5;-1128434;1188604;-158936;198399
24;-1261275;1302570;-574298;621778
