Headings;Site;Installation;Description;A0Dir;Depth Top;Depth Bottom;Depth Interval;Depth Offset;Latitude;Longitude;Elevation;Instrument Constant;Orientation Correction;DepthUnits;DisplayUnits
Installation v1;VEGA;VI-2;;0;1;24;0.5;0;0;0;0;25000;0;Meters;mm
Headings;Survey DateTime;Num Passes;Num Depths;Sensor SN;Actl Cnst;Rotation A;Rotation B;Bias A;Bias B;Sensitivity A;Sensitivity B;Operator;SurveyType;Settlement Corrected;CutAtBottom;Water Level
Survey v2;15/02/2025 09:02:00;2;48;DP45VEGA2,C;50000000;0.0000;0.0000;0.0;0.0;1.000;1.000;;0;False;False;0
Depth;A0;A180;B0;B180
0.5;-318864;378447;-2184080;2234125
1;-242369;291706;-2180687;2235088
1.5;-420485;460910;-2184208;2231186
2;107769;-58357;-2186234;2236221
2.5;2035;57332;-2185231;2236057
3;-167910;221984;-2183922;2235191
3.5;-217342;276391;-1946267;1992961
4;-56289;122417;-1275295;1324771
4.5;296184;-247812;-1128204;1181193
5;272709;-219035;-894439;947779
5.5;510120;-452775;-628711;692272
6;484118;-435307;-678453;742764
6.5;-149066;201315;-476242;514805
7;140823;-82789;-265721;317778
7.5;222821;-179933;-535716;584263
8;172325;-127651;-576301;610393
8.5;307926;-264230;-551542;594613
9;745605;-702572;-319056;365055
9.5;621636;-577880;-258464;317768
10;508163;-462053;-194814;236245
10.5;587226;-536376;-146946;203089
11;302337;-261603;-272450;312965
11.5;596153;-542416;-302891;347587
12;719484;-665448;-171195;217658
12.5;458535;-415668;-6388;50064
13;433555;-389260;-254240;295146
13.5;48509;3565;317422;-273230
14;108189;-53890;342095;-292732
14.5;260704;-216470;199400;-147413
15;433691;-394729;-712;39911
15.5;425465;-382682;103142;-53381
16;565781;-515163;211096;-166111
16.5;559531;-512017;448510;-405036
17;440812;-381630;561230;-507733
17.5;181197;-132251;1044620;-994903
18;179248;-134690;638250;-582227
18.5;-454422;498524;1067019;-1023847
19;-527187;571190;1003466;-954348
19.5;-538753;586929;894999;-845999
20;-317824;359487;646660;-592257
20.5;-622335;672297;412092;-370192
21;-831138;879425;297247;-250956
21.5;-692189;744575;273099;-238758
22;-717587;773611;-236404;286581
22.5;-712502;755603;-308887;353640
23;-965130;1019098;-264814;308382
23.5;-1131101;1188359;-159039;212576
24;-1256985;1315120;-571946;622596
